ecosystem,name,version,dep_type,tree,declared_in,status,eol_date,last_publish,deprecated,risk,notes
npm,typescript,5.9.3,devDependencies,root-workspace,packages/app/package.json; packages/backend/package.json; packages/plugin-utils/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/licensed-users-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2026-07-08,false,build,
npm,undici,7.29.0,dependencies,root-workspace,packages/backend/package.json,OK,,2026-08-03,false,auth-crypto-network,
npm,winston,3.14.2,dependencies,root-workspace,packages/backend/package.json; plugins/dynamic-plugins-info-backend/package.json; plugins/scalprum-backend/package.json,OK,,2025-12-07,false,runtime-prod,
platform,nodejs,24,runtime,platform,package.json engines.node,OK,2028-04-30,,false,runtime-prod,
platform,rhel-ubi,9,runtime,platform,build/containerfiles/Containerfile,OK,2032-05-31,,false,runtime-prod,
pypi,babel,unpinned,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-02-01,false,docs-python,unpinned
pypi,calver,==2022.6.26,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2025-10-20,false,docs-python,
pypi,certifi,==2024.7.4,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-07-22,false,docs-python,
pypi,charset-normalizer,==3.3.2,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-08-15,false,docs-python,
pypi,click,==8.1.7,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-06-24,false,docs-python,
pypi,Cython,==0.29.37,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-07-24,false,docs-python,
pypi,editables,==0.5,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-04-14,false,docs-python,
pypi,flit_core,"<4,>=3.11",dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-08-04,false,docs-python,
pypi,hatch-nodejs-version,==0.3.2,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2025-07-24,false,docs-python,
pypi,hatch-vcs,==0.4.0,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2025-05-27,false,docs-python,
pypi,hatchling,==1.25.0,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-08-11,false,docs-python,
pypi,idna,==3.7,dependencies,python,python/requirements-build.in; python/requirements.in,OK,,2026-08-18,false,docs-python,
